매물번호,매물명,매물타입,거래타입,보증금/매매가,월세,전용면적,공급면적,층,방향,건물명,주소,설명,태그,등록일,위도,경도,중개사
2539569222,중소형사무실,사무실,월세,1억,600,211,195,9/10,남동향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","25년이내, 역세권, 고층, 주차가능",20250723,37.499642,127.035845,스페이스제이공인중개사사무소
2539293761,중소형사무실,사무실,월세,1억,750,206,181,12/12,북동향,중소형사무실,,"역삼역,노출,내외관S급,테라스,옥상연결,연층가능","10년이내, 테라스, 역세권, 고층",20250723,37.498643,127.03439,주식회사 강남부동산중개
2539322231,중소형사무실,사무실,월세,"1억 2,000",900,286,214,2/13,서향,중소형사무실,,인테리어 완벽한 역세권 사무실 무상승계 가능,"15년이내, 역세권, 지상층(1층제외), 주차가능",20250722,37.50432,127.044661,다온부동산중개사무소
2538915903,중소형사무실,사무실,월세,"7,000",530,197,155,7/8,서향,중소형사무실,,"역삼역,내외관특S급,룸2,연층가능","25년이내, 역세권, 고층, 주차가능",20250722,37.502314,127.039322,주식회사 강남부동산중개
2539273054,중소형사무실,사무실,월세,"5,000",441,172,157,6/10,남동향,중소형사무실,,"역삼역,내외관특S급,룸2,가성비최상급","25년이내, 역세권, 중층, 주차가능",20250722,37.499312,127.035549,주식회사 강남부동산중개
2538898550,중소형사무실,사무실,월세,"5,000",500,258,231,3/6,서향,중소형사무실,,"사진有, 역삼역, 가성비최상, 인테리어완비, 단독층사용","25년이내, 역세권, 중층, 주차가능",20250722,37.498077,127.039468,더해냄공인중개사사무소
2539525925,중소형사무실,사무실,월세,"1억 3,000","1,000",309,277,2/5,북동향,중소형사무실,,사진유.역삼역 도보3분 지상주차 노출A급 인테리어사무실 추천,"25년이내, 역세권, 중층, 주차가능",20250722,37.498661,127.038778,퍼센트원공인중개사사무소
2539403099,중소형사무실,사무실,월세,"3,000",285,158,125,3/4,서향,중소형사무실,,언주역 3분 대로변 갓가성비 사무실 무료1대,"25년이상, 역세권, 고층, 주차가능",20250722,37.504679,127.035435,(주)미스터부동산중개법인
2539387949,중소형사무실,사무실,월세,"6,000",450,163,163,2/5,동향,중소형사무실,,"역삼역5분, 49p, S급내외관, 단독테라스, 자주식주차","15년이내, 테라스, 중층, 주차가능",20250722,37.499404,127.043061,(주)더탑원부동산중개법인
2538890233,중소형사무실,사무실,월세,1억,730,186,161,6/7,남향,중소형사무실,,센터필드 교차로 주차2대 인테리어 최상 사무실 임대,"10년이내, 고층, 주차가능, 남향",20250722,37.504569,127.042499,주식회사블루핀부동산중개
2538883311,중소형사무실,사무실,월세,"3,500",330,144,125,3/5,남향,중소형사무실,,선릉역 리모델링 완료 깔끔한 사무실,"25년이내, 융자금없는, 역세권, 중층",20250722,37.504837,127.044321,유지공인중개사사무소
2538399126,중소형사무실,사무실,월세,"2,500",190,101,101,3/4,남향,중소형사무실,,뱅뱅사거리인근.도곡로.갓성비.주차.실면적.빠른계약예상,"25년이상, 고층, 관리비10만원이하, 주차가능",20250722,37.491116,127.034356,ALL바른공인중개사사무소
2538671509,대형사무실,사무실,월세,1억,800,314,284,3/7,남향,대형사무실,,"무권리, 내부 외부 관리잘되어 있음, 엘베, 주차2대","25년이내, 역세권, 중층, 주차가능",20250721,37.500665,127.02912,삼광공인중개사사무소
2538777756,중소형사무실,사무실,월세,"1억 2,000",700,301,247,7/10,동향,중소형사무실,,,"15년이내, 역세권, 고층, 주차가능",20250721,37.49809,127.036303,주식회사블루핀부동산중개
2539027261,중소형사무실,사무실,월세,"1,275",89,89,59,5/6,서향,중소형사무실,,역삼역 도보 4분 엄청난 가성비 사무실,"25년이상, 역세권, 고층, 주차가능",20250721,37.498682,127.034075,(주)미스터부동산중개법인
2538892698,중소형사무실,사무실,월세,"8,000",530,280,221,3/5,서향,중소형사무실,,"사진有, 역삼역, 초역세권, 가성비, 인테리어완비, 주차2대","25년이상, 역세권, 중층, 주차가능",20250721,37.502585,127.035346,더해냄공인중개사사무소
2538602400,중소형사무실,사무실,월세,"7,000",680,193,165,5/13,남향,중소형사무실,,"초역세권 깔끔한유리외관, 룸3 50p 인테리어 특상 사무실","15년이내, 역세권, 중층, 주차가능",20250721,37.50245,127.038034,(주)원앤원부동산중개법인
2539011695,중소형사무실,사무실,월세,"1,600",125,116,95,5/5,북향,중소형사무실,,"강남역 도보 6분 인테리어,가격 모두 ACE","25년이상, 역세권, 고층, 주차가능",20250721,37.498127,127.03221,(주)미스터부동산중개법인
2538912517,중소형사무실,사무실,월세,"3,000",350,148,148,3/5,남향,중소형사무실,,"역삼역,내외관특S급,룸4,자주식주차","25년이상, 중층, 주차가능, 총5층",20250721,37.499009,127.043558,주식회사 강남부동산중개
2538853522,대형사무실,사무실,월세,2억,"2,100",310,280,6/15,북향,대형사무실,,투어가능 강남역 12번출구 2분  사무실 층별 임대가능,"2년이내, 역세권, 중층, 주차가능",20250721,37.499404,127.028838,박태양랩부동산중개주식회사
2538741620,중소형사무실,사무실,월세,"1억 3,000","1,000",449,277,2/5,동향,중소형사무실,,"수려한 내외관, 역삼역 도보4분","25년이내, 역세권, 중층, 주차가능",20250721,37.498661,127.038778,주식회사블루핀부동산중개
2538938509,중소형사무실,사무실,월세,1억,750,301,237,7/10,동향,중소형사무실,,역삼동 중형 사무실 보안철저 방문주차 편리 인테리어 완비,"15년이내, 역세권, 고층, 주차가능",20250721,37.497942,127.036374,오늘의공간 공인중개사사무소
2538381375,중소형사무실,사무실,월세,"6,000",400,386,152,8/13,남서향,중소형사무실,,"H 인테리어, 가성비 정말 좋은 사무실 추천드립니다.","25년이상, 중층, 주차가능, 엘리베이터",20250721,37.501723,127.043792,(주)마이다스부동산중개법인서초
2538333533,중소형사무실,사무실,월세,"2,000",140,92,92,5/6,북향,중소형사무실,,강남역.주차가능.S급가성비사무실.내외관컨디션ACE,"25년이상, 역세권, 고층, 주차가능",20250721,37.499825,127.028337,(주)미스터부동산중개법인
2538673974,중소형사무실,사무실,월세,"5,400",540,169,152,5/6,남향,중소형사무실,,"컨디션 좋은 가성비 사무실, 강남역 사거리 도보 약 2분","25년이상, 역세권, 고층, 주차가능",20250721,37.499645,127.028616,삼광공인중개사사무소
2538239810,중소형사무실,사무실,월세,"3,500",238,101,70,4/6,북향,중소형사무실,,A급 실사진 강남역 역삼역 도보 추천 사무실,"25년이상, 역세권, 중층, 주차가능",20250721,37.498535,127.035735,주식회사 아하부동산중개법인
2538918295,중소형사무실,사무실,월세,"7,000",680,191,171,5/13,남향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","15년이내, 역세권, 중층, 주차가능",20250721,37.50245,127.038034,스페이스제이공인중개사사무소
2538675738,중소형사무실,사무실,월세,"5,000",500,258,231,3/6,서향,중소형사무실,,A급 실사진 역삼역 인테리어 사무실 편리한 주차장,"25년이내, 역세권, 중층, 주차가능",20250721,37.498077,127.039468,주식회사 아하부동산중개법인
2538909433,중소형사무실,사무실,월세,"3,000",320,109,95,3/6,서향,중소형사무실,,"강남역,내외관특S급,룸5,자주식주차","15년이내, 역세권, 중층, 주차가능",20250721,37.496442,127.03057,주식회사 강남부동산중개
2538681846,중소형사무실,사무실,월세,"7,000",530,118,105,1/4,남동향,중소형사무실,,"H 신축급 디자인 건물, 실제 2층입니다. 주차 편합니다.","4년이내, 역세권, 1층, 주차가능",20250718,37.503528,127.037934,(주)마이다스부동산중개법인서초
2538443969,중소형사무실,사무실,월세,"5,000",200,44,35,4/7,북향,중소형사무실,,실사진 역삼역4분 풀옵션 엘베 사업자가능 자주식주차,"25년이내, 역세권, 중층, 주차가능",20250718,37.498079,127.037625,(주)미스터부동산중개법인
2537998746,중소형사무실,사무실,월세,"2,000",270,102,66,3/5,동향,중소형사무실,,빠른계약 역삼역2분 인테리어 A 화이트톤 룸2개 사무실,"25년이상, 역세권, 중층, 주차가능",20250718,37.500646,127.040185,(주)마이다스부동산중개법인서초
2538359129,대형사무실,사무실,월세,"1억 5,000","1,260",270,270,11/19,남향,대형사무실,,역삼역초역세권.도보1분.대로변.A급인테리어무상승계,"15년이내, 역세권, 중층, 주차가능",20250718,37.500539,127.034693,(주)미스터부동산중개법인
2538318983,중소형사무실,사무실,월세,1억,600,211,195,9/10,남동향,중소형사무실,,"H 역삼역 오피스 메인 스트릿 법무,세무,회계,의원 추천드립니다.","25년이내, 역세권, 고층, 주차가능",20250718,37.499642,127.035845,(주)마이다스부동산중개법인서초
2538490377,중소형사무실,사무실,월세,"5,000",500,258,206,3/6,서향,중소형사무실,,HI 역삼동 A급 인테리어 사무실,"25년이내, 역세권, 중층, 주차가능",20250718,37.498077,127.039468,주식회사 강남부동산중개
2538366675,중소형사무실,사무실,월세,"2,000",250,93,82,2/4,서향,중소형사무실,,"역세권, 깔끔한내외관 25p 룸2 노출천장 화이트톤 인테리어 사무실","25년이내, 융자금없는, 역세권, 중층",20250718,37.505588,127.033891,(주)원앤원부동산중개법인
2538639223,중소형사무실,사무실,월세,"1억 5,000","1,260",270,267,11/19,남향,중소형사무실,,역세권 대로변 고층 홀1 룸6 사무실 소개합니다.,"15년이내, 역세권, 중층, 주차가능",20250718,37.500539,127.034693,(주)원앤원부동산중개법인
2538659037,중소형사무실,사무실,월세,1억,650,295,247,6/10,북향,중소형사무실,,,"25년이상, 역세권, 중층, 주차가능",20250718,37.509203,127.040998,(주)원앤원부동산중개법인
2538484555,중소형사무실,사무실,월세,1억,650,295,240,6/10,북향,중소형사무실,,HI 선정릉역 대로변 A급 사무실,"25년이상, 역세권, 중층, 주차가능",20250718,37.509203,127.040998,주식회사 강남부동산중개
2538676331,중소형사무실,사무실,월세,"1억 3,000","1,100",398,290,2/11,북향,중소형사무실,,선릉역 도보 1분 사무 환경 우수한 룸4개 사무실,"10년이내, 역세권, 지상층(1층제외), 주차가능",20250718,37.505056,127.047294,(주)마이다스부동산중개법인서초
2538398459,중소형사무실,사무실,월세,"2,000",270,102,66,3/5,북동향,중소형사무실,,역삼역3분.인테리어.소형초갓성비.보시면계약,"25년이상, 역세권, 중층, 주차가능",20250718,37.500646,127.040185,ALL바른공인중개사사무소
2538007219,중소형사무실,사무실,월세,"5,000",530,197,155,7/8,동향,중소형사무실,,"사진有, 역삼역, 초역세권, 층단독, 인테리어, 실47, 연층가능","25년이내, 역세권, 고층, 주차가능",20250718,37.502314,127.039322,더해냄공인중개사사무소
2538325385,중소형사무실,사무실,월세,1억,650,295,295,6/10,북향,중소형사무실,,선정릉초역세권 대로변대형건물 무료2대 관리잘되는건물,"25년이상, 역세권, 중층, 주차가능",20250718,37.509203,127.040998,(주)미스터부동산중개법인
2538429883,대형사무실,사무실,월세,"1억 5,000",975,312,247,7/12,남서향,대형사무실,,H 역삼 메인오피스 인테리어 무상인수 가능한 사무실 추천드립니다.,"25년이내, 역세권, 중층, 주차가능",20250718,37.499442,127.034359,(주)마이다스부동산중개법인서초
2538438987,중소형사무실,사무실,월세,"5,000",500,258,224,3/6,서향,중소형사무실,,68P 역삼역 자주식3대 AA급인테리어 사무실,"25년이내, 융자금없는, 역세권, 중층",20250717,37.498077,127.039468,부동산중개법인 익스퍼트(주)
2538451911,중소형사무실,사무실,월세,"8,000",550,194,175,11/14,서향,중소형사무실,,역삼동 초역세권 인테리어 최상급 사무실 임대,"15년이내, 역세권, 고층, 주차가능",20250717,37.501645,127.041642,주식회사블루핀부동산중개
2538450396,중소형사무실,사무실,월세,"1,000",110,124,61,13/18,서향,중소형사무실,,강남대로코너 위치 좋고 교통 좋은 곳,"25년이상, 융자금없는, 역세권, 고층",20250717,37.491892,127.030965,이룸공인중개사사무소
2538419844,중소형사무실,사무실,월세,"1억 5,000",975,312,248,7/12,남향,중소형사무실,,역삼역 초역세권 인테리어 특A급 사무실 임대,"25년이내, 역세권, 중층, 주차가능",20250717,37.499442,127.034359,주식회사블루핀부동산중개
2538451167,중소형사무실,사무실,월세,"5,000",500,258,231,3/6,서향,중소형사무실,,일단클릭.역삼역 3분.인테리어上.강의실.세미나실 활용 가능,"25년이내, 역세권, 중층, 주차가능",20250717,37.498077,127.039468,(주)미스터부동산중개법인
2538451785,중소형사무실,사무실,월세,"1,000",86,36,36,3/6,남향,중소형사무실,,일단클릭.인테리어完.가성비甲.무료주차1대.소형사무실제격.,"25년이내, 중층, 관리비20만원이하, 주차가능",20250717,37.494417,127.036497,(주)미스터부동산중개법인
2538364406,중소형사무실,사무실,월세,"6,000",370,121,94,6/6,서향,중소형사무실,,"신논현역 언주역 더블역세권, 테라스 사무실","25년이상, 테라스, 역세권, 고층",20250717,37.505314,127.029596,(주)마이다스부동산중개법인서초
2538397702,중소형사무실,사무실,월세,"1억 5,000",975,312,312,7/12,북향,중소형사무실,,역삼역1분.초역세.통창.엘베2.빠른입주가능,"25년이내, 역세권, 중층, 주차가능",20250717,37.499442,127.034359,ALL바른공인중개사사무소
2538387420,중소형사무실,사무실,월세,"2,000",150,83,41,5/17,서향,중소형사무실,,전용15.선릉역도보1분.빅토리아빌딩.원상복구 사무실,"25년이상, 역세권, 지상층(1층제외), 주차가능",20250717,37.504418,127.047374,주식회사블루핀부동산중개
2538398069,중소형사무실,사무실,월세,"3,500",238,101,70,4/6,서향,중소형사무실,,역삼역3분.엘베.주차1.인테리어.초역세권갓성비.빠른계약예상,"25년이상, 역세권, 중층, 주차가능",20250717,37.498535,127.035735,ALL바른공인중개사사무소
2538220566,중소형사무실,사무실,월세,"1억 2,000",750,159,128,15/15,남동향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","10년이내, 역세권, 고층, 주차가능",20250717,37.504808,127.048635,스페이스제이공인중개사사무소
2538323633,중소형사무실,사무실,월세,"3,000",240,209,66,1/4,남향,중소형사무실,,빠른계약 역삼역 도보권 단독출입테라스 있는 넓은 사무실,"25년이내, 테라스, 1층, 주차가능",20250717,37.498805,127.041042,(주)마이다스부동산중개법인서초
2538247604,중소형사무실,사무실,월세,"6,000",450,115,115,5/6,서향,중소형사무실,,"사진有, 신논현역, 언주역, 별도창고, 인테리어완비, 단독테라스","25년이상, 테라스, 역세권, 고층",20250717,37.505314,127.029596,더해냄공인중개사사무소
2538387527,중소형사무실,사무실,월세,"3,500",300,170,85,4/17,서향,중소형사무실,,전용25.선릉역도보1분.빅토리아빌딩.코너호실,"25년이상, 역세권, 지상층(1층제외), 주차가능",20250717,37.504418,127.047374,주식회사블루핀부동산중개
2538397547,중소형사무실,사무실,월세,"1억 5,000",975,312,312,8/12,북향,중소형사무실,,역삼역1분.초역세.통창.엘베2.빠른입주,"25년이내, 역세권, 중층, 주차가능",20250717,37.499442,127.034359,ALL바른공인중개사사무소
2538260554,중소형사무실,사무실,월세,"5,000",500,258,258,3/6,서향,중소형사무실,,역삼역 인테리어ACE 엘베有 가성비甲,"25년이내, 역세권, 중층, 주차가능",20250717,37.498077,127.039468,(주)미스터부동산중개법인
2538367873,중소형사무실,사무실,월세,"6,000",370,158,110,6/6,남향,중소형사무실,,역세권 깔끔한외관 채광좋은 33p 테라스 인테리어 사무실,"25년이상, 테라스, 역세권, 고층",20250717,37.505314,127.029596,(주)원앤원부동산중개법인
2538222520,중소형사무실,사무실,월세,"1억 3,000","1,050",290,231,2/11,북서향,중소형사무실,,"성장하는 공간, 스페이스제이가 함께 하겠습니다","10년이내, 역세권, 지상층(1층제외), 주차가능",20250717,37.505056,127.047294,스페이스제이공인중개사사무소
2538215518,대형사무실,사무실,월세,"1억 2,000","1,200",287,284,2/6,남향,대형사무실,,역삼동 깔끔한유리외관 전용86p 룸3 무권리 인테리어사무실,"25년이내, 융자금없는, 지상층(1층제외), 주차가능",20250717,37.496652,127.038015,(주)원앤원부동산중개법인
2540014298,중소형사무실,사무실,월세,"8,000",480,167,132,3/13,동향,중소형사무실,,전용40 강남역 초역세 사무실 학원 등 환영합니다,"15년이내, 역세권, 지상층(1층제외), 주차가능",20250724,37.495837,127.03053,부동산중개법인 익스퍼트 (주)
2540019556,중소형사무실,사무실,월세,"2,200",220,132,79,1/4,서향,중소형사무실,,"전용 24,룸3,탕비실,강남역70M,세무서50M,세무사가 사용하는 건물","25년이상, 역세권, 1층, 주차가능",20250724,37.49683,127.030839,에이치부동산중개법인주식회사
2540022229,중소형사무실,사무실,월세,"1,000",75,69,34,14/20,동향,중소형사무실,,"실입주 가능,반듯한 구조로 수리된 사무실,무료주차 1대","25년이내, 융자금없는, 역세권, 고층",20250724,37.50164,127.035645,성지현대공인중개사사무소
2540032454,중소형사무실,사무실,월세,1억,690,212,171,4/7,동향,중소형사무실,,역삼역 역세권 A급 인테리어 사무실,"25년이내, 역세권, 중층, 주차가능",20250724,37.502552,127.03573,(주)탑인사이트부동산중개법인
2540032671,중소형사무실,사무실,월세,1억,690,212,178,6/7,동향,중소형사무실,,역삼역 역세권 A급 인테리어 사무실,"25년이내, 역세권, 고층, 주차가능",20250724,37.502552,127.03573,(주)탑인사이트부동산중개법인
2540032549,중소형사무실,사무실,월세,1억,690,212,171,5/7,동향,중소형사무실,,역삼역 역세권 A급 인테리어 사무실,"25년이내, 역세권, 고층, 주차가능",20250724,37.502552,127.03573,(주)탑인사이트부동산중개법인
2540025558,중소형사무실,사무실,월세,"3,000",300,130,125,2/5,남향,중소형사무실,,갓성비. 홀1.룸2. 깔끔한 내관. 가시성 좋은 2층 사무실,"25년이내, 중층, 주차가능, 엘리베이터",20250724,37.498731,127.04306,서강공인중개사사무소
2539897175,대형사무실,사무실,월세,1억,463,232,171,5/6,남향,대형사무실,,"대로변 노출좋은 기둥X 사무실, 채광우수, 연층 계약 가능, 테라스有","25년이내, 테라스, 고층, 주차가능",20250724,37.493408,127.043049,더큰공인중개사사무소
2539892256,대형사무실,사무실,월세,"3억 8,000","1,733",822,822,4/6,남향,대형사무실,,"대로변 노출좋은 기둥X 사무실, 채광우수, 단층 계약 가능, 테라스有","25년이내, 테라스, 중층, 주차가능",20250724,37.493408,127.043049,더큰공인중개사사무소
2539940285,대형사무실,사무실,월세,"2억 5,000","2,500",522,491,B1/4,남향,대형사무실,,711 0599  역삼역 대로변 리모델링 건물 통임대가능합니다.,"25년이상, 지하층, 주차가능, 총4층",20250724,37.491617,127.037429,이안공인중개사사무소
2539895152,중소형사무실,사무실,월세,"2,000",150,66,66,2/6,북향,중소형사무실,,실사진 역삼역 5분 깔끔한 인테리어 컨디션 좋은 사무실,"25년이상, 역세권, 지상층(1층제외), 관리비20만원이하",20250724,37.498371,127.036769,더큰공인중개사사무소
2539887325,중소형사무실,사무실,월세,"1억 2,000",960,341,341,2/6,북향,중소형사무실,,강남역 3분 I 연층사용가능 I 학원 추천,"25년이상, 역세권, 지상층(1층제외), 주차가능",20250724,37.499825,127.028337,푸른달공인중개사사무소
2539985205,대형사무실,사무실,단기임대,300,520,172,165,8/11,북향,대형사무실,,선릉역초역세권 세련된인테리어 업무홀 룸4개 인포메이션,"15년이내, 융자금없는, 역세권, 고층",20250724,37.503339,127.048455,국민공인중개사사무소
2539928048,중소형사무실,사무실,월세,"5,000",278,147,86,5/6,남향,중소형사무실,,도곡로 대로변 전용26p 5층 사무실,"25년이내, 융자금없는, 고층, 주차가능",20250724,37.493408,127.043049,스타리얼티주식회사
2539984896,중소형사무실,사무실,월세,3억,"2,070",640,528,4/7,동향,중소형사무실,,"대로변 중형 사무실, 주차2대, 지하철도보 3분","25년이내, 역세권, 중층, 주차가능",20250724,37.502552,127.03573,삼광공인중개사사무소
2539909118,중소형사무실,사무실,매매,"2억 3,000",,69,34,14/20,동향,중소형사무실,,"실입주 가능,반듯한 구조로 수리된 사무실,무료주차 1대","25년이내, 역세권, 고층, 주차가능",20250724,37.50164,127.035645,성지현대공인중개사사무소
2539958666,중소형사무실,사무실,월세,"1,000",90,87,44,5/20,동향,중소형사무실,,"룸 1개 분리,실사진 무료주차1대,즉시입주","25년이내, 융자금없는, 역세권, 지상층(1층제외)",20250724,37.50164,127.035645,성지현대공인중개사사무소
2539924367,중소형사무실,사무실,월세,"1억 4,000",635,295,236,4/6,남향,중소형사무실,,도곡로 대로변 전용70p 4층 사무실,"25년이내, 융자금없는, 중층, 주차가능",20250724,37.493408,127.043049,스타리얼티주식회사
2539973574,중소형사무실,사무실,월세,"2억 3,000","2,300",732,732,1/5,남향,중소형사무실,,대로변 소형빌딩 임대 렌트프리 및 원복협의,"25년이상, 1층, 주차가능, 엘리베이터",20250724,37.494933,127.035423,한마음공인중개사사무소
2539897698,중소형사무실,사무실,월세,"1,500",150,69,69,5/6,북향,중소형사무실,,실사진 역삼역 5분 깔끔한 인테리어 컨디션 좋은 사무실,"25년이상, 역세권, 고층, 관리비10만원이하",20250724,37.498371,127.036769,더큰공인중개사사무소
2539968015,오피스텔,사무실,매매,"2억 1,000",,60,32,4/11,북향,오피스텔,,"역삼역3번출구 도보5분,자주식주차가능,공실률낮습니다.","25년이내, 역세권, 중층, 관리비20만원이하",20250724,37.498844,127.033498,태성공인중개사사무소
2539958805,중소형사무실,사무실,월세,"1,000",100,29,29,1/3,남서향,중소형사무실,,"무권리, 언주역 3분, 초역세권 사무실 , 1층 임대","25년이상, 역세권, 1층, 관리비10만원이하",20250724,37.506233,127.032755,신가람공인중개사사무소
2539923571,대형사무실,사무실,월세,"3억 8,000","1,733",1099,643,3/6,남향,대형사무실,,도곡로 대로변 채광좋고 컨디션 좋은 사무실 3개층 통임대,"25년이내, 융자금없는, 중층, 주차가능",20250724,37.493408,127.043049,스타리얼티주식회사
2539914483,대형사무실,사무실,월세,2억,"1,400",243,243,1/2,북서향,대형사무실,,"바닦권리없는 통사옥임대, 자주식 5대무료주차, 통창구조","15년이내, 역세권, 1층, 주차가능",20250724,37.504749,127.028613,삼광공인중개사사무소
2539928960,중소형사무실,사무실,월세,"1억 4,000",635,295,236,3/6,남향,중소형사무실,,도곡로 대로변 전용70p 3층 사무실,"25년이내, 융자금없는, 중층, 주차가능",20250724,37.493408,127.043049,스타리얼티주식회사
2539957550,중소형사무실,사무실,월세,5억,"4,500",991,991,1/6,서향,중소형사무실,,"언주역 1분, 초역세권, 통임대, S급 건물내외관","25년이내, 역세권, 1층, 주차가능",20250724,37.506499,127.03324,신가람공인중개사사무소
2539940778,중소형사무실,사무실,월세,"2,500",200,99,62,3/6,남향,중소형사무실,,A급 실사진 강남대로 신축급 인테리어사무실,"25년이상, 중층, 주차가능, 엘리베이터",20250724,37.491907,127.032172,주식회사 아하부동산중개법인
